
94 tensor(0.9854, grad_fn=<DivBackward0>) 1.0000000000000004e-08
95 tensor(1.0102, grad_fn=<DivBackward0>) 1.0000000000000004e-08
96 tensor(1.0378, grad_fn=<DivBackward0>) 1.0000000000000004e-08
97 tensor(1.1339, grad_fn=<DivBackward0>) 1.0000000000000004e-08
98 tensor(0.9865, grad_fn=<DivBackward0>) 1.0000000000000004e-08
99 tensor(1.1501, grad_fn=<DivBackward0>) 1.0000000000000004e-08
tensor([[ 6, 15, 12, 15, 15, 15, 12, 14, 12, 15,  3, 15, 15,  0,  0, 12, 13, 15,
         15,  3, 15, 12, 15, 14, 15, 15,  0, 15,  6],
        [15, 15, 11, 15, 12, 12,  0,  4, 12, 12, 12,  7, 10, 10, 10, 10, 10, 10,
         10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]])
[[2, 15, 15, 15, 1, 15], [13, 0, 2, 15, 12, 12, 0, 4, 15, 12, 12, 7]]
