tensor(2.5857, grad_fn=<NegBackward0>)
tensor(2.5854, grad_fn=<NegBackward0>)
tensor(2.5851, grad_fn=<NegBackward0>)
tensor(2.5848, grad_fn=<NegBackward0>)
tensor(2.5844, grad_fn=<NegBackward0>)
tensor(2.5841, grad_fn=<NegBackward0>)
tensor(2.5838, grad_fn=<NegBackward0>)
tensor(2.5835, grad_fn=<NegBackward0>)
tensor(2.5832, grad_fn=<NegBackward0>)
tensor(2.5829, grad_fn=<NegBackward0>)
